====================================================================================================
MARKET REPLAY ANALYSIS: MAR 08, 2026 TO MAR 09, 2026
Report Generated (System Time): 2026-03-09 11:15:05
====================================================================================================

SESSION SUMMARY
---------------
Total Round-trips: 0
Win/Loss:          0W / 0L (0.0% win rate)
Total P&L:         +0 ticks ($+0.00)

ALL SIGNALS FIRED: 75
----------------------------------------------------------------------------------------------------
Market Timestamp       Dir    Source     Trigger                Conf   Price
2026-03-09 05:19:58    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 05:23:29    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 05:26:26    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 05:33:49    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 05:36:44    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 05:39:19    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
2026-03-09 05:50:03    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
2026-03-09 05:53:49    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
2026-03-09 05:56:39    SHORT  Trader     OrangeSquare+DT        5/8    2026.00   
2026-03-09 06:10:55    SHORT  Trader     OrangeSquare+DT        5/8    2026.00   
2026-03-09 06:32:52    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
2026-03-09 07:05:21    LONG   Trader     YellowSquare+ET        5/8    2026.00    >>>
2026-03-09 07:20:17    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
2026-03-09 07:39:37    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 08:22:58    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 08:29:19    LONG   Trader     YellowSquare+RR        5/8    2026.00   
2026-03-09 08:39:29    SHORT  Trader     OrangeSquare+DT        6/8    2026.00   
  (>>> = order placed by ActiveNikiTrader)

====================================================================================================
